@relation 'mydata-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,5'

@attribute User.country {Australia,Belgium,Brazil,Canada,China,'Costa Rica',Croatia,'Czech Republic',Denmark,Egypt,Finland,France,Germany,Greece,Hawaii,Honduras,Hungary,India,'India ',Iran,Ireland,Israel,Italy,Japan,Jordan,Kenya,Korea,Kuwait,Malaysia,Mexico,Netherlands,'New Zeland',Norway,Phillippines,'Puerto Rico','Saudi Arabia',Scotland,Singapore,'South Africa',Spain,Swiss,Switzerland,Syria,Taiwan,Thailand,UK,'United Arab Emirates',USA}
@attribute Nr..reviews {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,69,70,73,74,75,76,77,78,79,82,83,84,85,86,87,88,91,92,93,95,96,97,101,102,103,106,108,110,112,113,114,116,118,119,121,123,125,127,130,131,136,137,139,142,146,148,153,154,156,159,160,161,164,167,169,182,184,189,235,240,252,262,275,289,290,320,333,372,415,418,576,608,775}
@attribute Nr..hotel.reviews {0,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,47,48,49,52,55,56,58,61,71,72,75,76,78,79,107,111,117,126,162,263}
@attribute Helpful.votes {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,42,43,45,46,47,48,49,51,52,53,54,55,56,58,59,60,61,63,65,67,68,70,71,72,74,75,76,78,80,81,82,85,86,87,88,93,98,99,102,103,105,111,112,113,115,116,119,129,131,132,133,134,142,150,161,167,169,200,206,255,265,267,299,300,319,339,340,365}
@attribute Period.of.stay {Dec-Feb,Jun-Aug,Mar-May,Sep-Nov}
@attribute Traveler.type {Business,Couples,Families,Friends,Solo}
@attribute Pool {NO,YES}
@attribute Gym {NO,YES}
@attribute Tennis.court {NO,YES}
@attribute Spa {NO,YES}
@attribute Casino {NO,YES}
@attribute Free.internet {NO,YES}
@attribute Hotel.name {'Bellagio Las Vegas','Caesars Palace','Circus Circus Hotel & Casino Las Vegas','Encore at wynn Las Vegas','Excalibur Hotel & Casino','Hilton Grand Vacations at the Flamingo','Hilton Grand Vacations on the Boulevard','Marriott\'s Grand Chateau','Monte Carlo Resort&Casino','Paris Las Vegas','The Cosmopolitan Las Vegas','The Cromwell','The Palazzo Resort Hotel Casino','The Venetian Las Vegas Hotel','The Westin las Vegas Hotel Casino & Spa','Treasure Island- TI Hotel & Casino','Tropicana Las Vegas - A Double Tree by Hilton Hotel','Trump International Hotel Las Vegas','Tuscany Las Vegas Suites & Casino','Wyndham Grand Desert','Wynn Las Vegas'}
@attribute Hotel.stars {3,'3,5',4,'4,5',5}
@attribute Nr..rooms {188,315,716,732,787,826,1228,1282,1467,2034,2700,2884,2916,2959,3003,3025,3348,3773,3933,3981,4027}
@attribute User.continent {Africa,Asia,Europe,'North America',Oceania,'South America'}
@attribute Member.years {-1806,0,1,2,3,4,5,6,7,8,9,10,11,12,13}
@attribute Review.month {April,August,December,February,January,July,June,March,May,November,October,September}
@attribute Review.weekday {Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday}
@attribute Score {1,2,3,4,5}

@data
Canada,8,8,9,Sep-Nov,Families,NO,YES,NO,NO,YES,YES,'Circus Circus Hotel & Casino Las Vegas',3,3773,'North America',4,September,Wednesday,1
'New Zeland',4,3,3,Sep-Nov,Couples,NO,YES,NO,NO,YES,YES,'Circus Circus Hotel & Casino Las Vegas',3,3773,Oceania,3,November,Monday,1
China,1,0,2,Sep-Nov,Business,YES,YES,NO,YES,YES,NO,'Monte Carlo Resort&Casino',4,3003,Asia,0,November,Wednesday,1
Canada,27,0,9,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,'Tropicana Las Vegas - A Double Tree by Hilton Hotel',4,1467,'North America',0,September,Tuesday,1
UK,15,6,39,Mar-May,Couples,YES,YES,NO,YES,YES,YES,'Caesars Palace',5,3348,Europe,4,May,Sunday,1
USA,25,22,36,Jun-Aug,Solo,YES,YES,NO,YES,YES,YES,'Caesars Palace',5,3348,'North America',9,June,Tuesday,1
USA,6,4,14,Jun-Aug,Business,YES,YES,NO,YES,YES,YES,'The Cosmopolitan Las Vegas',5,2959,'North America',1,July,Wednesday,1
Egypt,2,0,15,Sep-Nov,Families,YES,YES,NO,YES,YES,YES,'Trump International Hotel Las Vegas',5,1282,Africa,1,September,Monday,1
USA,4,0,16,Jun-Aug,Friends,YES,NO,NO,NO,YES,YES,'The Cromwell','4,5',188,'North America',0,July,Thursday,1
Thailand,3,3,20,Dec-Feb,Business,YES,YES,NO,YES,YES,YES,'Encore at wynn Las Vegas',5,2034,Asia,5,January,Tuesday,1
USA,70,25,19,Mar-May,Couples,YES,YES,NO,YES,YES,YES,'Hilton Grand Vacations on the Boulevard','3,5',1228,'North America',3,May,Friday,1
USA,102,24,58,Jun-Aug,Families,NO,YES,NO,NO,YES,YES,'Circus Circus Hotel & Casino Las Vegas',3,3773,'North America',9,June,Friday,2
USA,7,6,9,Jun-Aug,Friends,NO,YES,NO,NO,YES,YES,'Circus Circus Hotel & Casino Las Vegas',3,3773,'North America',1,July,Wednesday,2
USA,8,7,26,Sep-Nov,Couples,NO,YES,NO,NO,YES,YES,'Circus Circus Hotel & Casino Las Vegas',3,3773,'North America',10,October,Monday,2
USA,4,4,3,Dec-Feb,Couples,NO,YES,NO,NO,YES,YES,'Circus Circus Hotel & Casino Las Vegas',3,3773,'North America',5,December,Sunday,2
USA,24,6,9,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,'Excalibur Hotel & Casino',3,3981,'North America',2,August,Wednesday,2
USA,418,32,132,Dec-Feb,Couples,YES,YES,NO,YES,YES,NO,'Monte Carlo Resort&Casino',4,3003,'North America',3,February,Tuesday,2
'South Africa',54,18,16,Mar-May,Business,YES,YES,NO,YES,YES,NO,'Monte Carlo Resort&Casino',4,3003,Africa,5,April,Tuesday,2
Swiss,36,19,36,Jun-Aug,Solo,YES,YES,NO,YES,YES,NO,'Monte Carlo Resort&Casino',4,3003,Europe,5,August,Thursday,2
USA,13,3,3,Sep-Nov,Couples,YES,YES,NO,YES,YES,NO,'Monte Carlo Resort&Casino',4,3003,'North America',1,October,Sunday,2
Greece,21,18,6,Dec-Feb,Business,YES,YES,NO,YES,YES,NO,'Monte Carlo Resort&Casino',4,3003,Europe,0,December,Sunday,2
USA,5,3,11,Sep-Nov,Friends,YES,YES,YES,YES,YES,YES,'Tropicana Las Vegas - A Double Tree by Hilton Hotel',4,1467,'North America',1,October,Thursday,2
USA,30,8,10,Mar-May,Business,YES,YES,NO,YES,YES,YES,'The Cosmopolitan Las Vegas',5,2959,'North America',1,May,Wednesday,2
Germany,24,24,24,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,'The Cosmopolitan Las Vegas',5,2959,Europe,7,June,Wednesday,2
Canada,4,3,8,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,'The Cosmopolitan Las Vegas',5,2959,'North America',8,December,Tuesday,2
